""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"summary"
"Cartpt"	493.991821629096	3599.08386990011	1027.72497654776	4453.27836125587	12.2100524006753	238.717240328181	119.144469805141	9.71557268218762	20.7238485422414	118.084731260846	19.3485618674535	18.6734441179415	24.4190859574911	4.6168266948873	1.79756427670367	3.2358430454525	0.695588762452183	2.99575671731281	0.173974582581596	0.116910450838898	6.98906550810446	7.27601013913189	9.01113576359259	0.697393425858127	3.05486363812279	4.3540971373064	17.7844886237062	15.8270553924228	4.35179792950776	3.5605476597365	9.71895323613827	4.01765801887299	2.10760188003297	16.1109421851714	8.16805954770072	8.54211494021166	0.666639633170925	1.62782710499188	0.0651483947377361	3.58537296728809	1.48306122336203	0.349335738065595	3.85819916217824	0.221821102826587	0.959181753400581	1.84724806664628	1.0418729921952	0.00359606048401207	10306.0295900502
"Nqo1"	310.626379978794	1820.81237606127	885.137239715842	5068.38672252947	28.6525127208139	472.27810105441	206.730801234193	10.7235429899902	28.3389482664227	67.1929397532293	48.9174194174871	90.0390142727466	48.4984155716069	67.2487950536262	1.02817890048248	6.26156360475187	35.3669340705095	13.5477633598704	0.689393368639742	1.78665155652888	5.58045489195377	18.6504707892882	0.716652112616258	1.60266438714604	2.91470620336923	0.615016660068136	19.9265214516673	22.1551006700326	9.63090854724251	0.462308142078441	16.4921717566253	0.5295960269067	6.88685631360869	9.64985830562323	4.40506051153486	11.8238678489216	1.53820787804702	0.714580563604828	0.0190033192023426	0.686797340609752	0.260633453324137	0.110366780591442	1.15496186898231	0.810967629461178	0.147339949501581	2.92113869555708	0.812021359208481	0.00585964158813794	9353.48778657904
"Acsm4"	61.4236804710817	1287.32264602892	1011.62256045362	5464.48453153893	5.81172249839147	470.753026750305	198.123872411465	15.8387379875102	45.0489081949947	11.6511751069352	69.1337260587913	107.90364837002	48.8138656112821	59.5469734157476	2.43290941509612	6.90259741146849	25.5374717624624	6.71816180814182	0.547527604246045	0.346326841372924	8.72410448273653	5.1035955357817	14.0020747109775	4.80608486642681	6.38381480492868	7.21832740120868	11.0366163756119	2.01117783744646	0.184429547845014	3.24048214631061	13.0488142730445	2.30186537124771	4.8629395424942	6.27367653204754	7.70084802540955	1.60496291920781	0.494038235205479	0.839263082745397	0.555476012727196	0.0239156217323548	1.06702585693342	0.176885317959024	2.35497822150061	2.32967081223355	0.598820825141251	4.15881847147462	0.345208709762282	0.0145189730611049	9011.42650425398
"Cd55"	774.967460393119	3797.15213899808	343.919169897745	2767.52228357229	89.5330211387688	196.1939454967	220.283444938445	77.5417178108244	1.97989160244226	19.7080077912797	147.476929846115	0.5341861663726	9.59057944926723	1.40962913785805	4.57191812637792	0.265550150598534	28.589618458821	15.3724961019479	1.80678101682308	5.45698577024006	5.54364390186045	31.6440841075242	11.5065760548845	0.671175849885611	3.7603824384027	15.1341746850157	3.79452063891183	23.6723150541788	7.30096362011042	5.11835924142585	1.06138779203659	11.7179298644244	4.46333395063271	0.141592532816805	1.99541355715058	1.40774828353734	0.815555166537334	0.508974876898605	0.128915154010724	0.77220831077433	0.601912497533318	0.612439674248315	1.50611211699175	0.0585989977175523	1.05889678002332	1.83965344570212	0.0200698170810915	0.000336558717403302	8640.73303083315
"Pdlim1"	51.849953246033	2668.24429669598	895.033269561528	3988.45064228285	45.1231168735367	217.951107547138	197.599966547694	36.609400060793	8.28688052248634	106.499882273872	75.9020850658973	69.0483335445079	45.2675838573318	48.7340519250161	4.01911760255282	5.3741353907307	14.9182505188353	27.5859591977192	0.557915747599999	4.40408544312692	19.374841244302	8.09528493134528	9.34079347947495	0.411026710947872	2.25340236812383	1.52629482779619	11.8756153711368	9.68346324366496	12.3400788515584	1.47974759754714	7.46633345028829	15.4694207282186	0.687094384487133	8.20528798426172	7.08882037229235	0.448337224953047	0.0832917101427238	3.43758438602761	0.0414729577360623	0.760138797093271	0.721298229578249	0.851719821346722	0.429887915429598	0.230516405049555	0.554812209727305	0.775294348401114	0.941364779026066	0.00765691592702346	8636.04091515111
"Rtn1"	641.707625232854	3551.29969515341	1221.03949029111	1976.57014044452	15.9447141095827	289.195418512783	164.944929899786	14.3800849914603	21.0609426436154	115.204186821732	203.343266800394	27.4877452606111	32.8466593778952	16.7153302194121	4.00081553897913	1.70826895240484	1.04362611244325	28.4303036973901	0.797681815460392	15.2308134671145	49.621655871807	10.0018567546362	0.85257787859868	0.431015441395458	5.5212108775833	0.486288032952716	0.327044641020433	14.2447299177344	6.86333396008271	7.14838968786328	0.0855798532340205	10.7855824505756	2.7586344069152	1.33498034594497	22.8843171268816	0.701195777078922	1.82807071000959	6.66624733336202	0.537222595878322	1.87872477148656	0.559326721444609	0.636832348201746	2.46493340896139	1.17222014032803	0.193506608694502	1.67559986066022	1.32519193661232	0.00688576135470669	8495.94489456425
"Ptn"	68.6187000641395	1677.62033265697	156.756888526288	5325.30723125997	1.01138778317232	15.364075802684	18.4797043694466	7.40235992933399	86.8497853566798	188.026900977841	163.312678612788	37.6676985163914	28.7300544048301	40.3078709800552	3.78207766376595	2.99009524082728	0.977274801910314	49.6024651632037	2.86572399757977	6.42960084885361	20.2541358126545	15.9901635631943	17.8792353204234	7.12707515733617	6.26082469097174	11.3065674966324	25.5097341126194	27.6476648020634	7.44234797329908	3.08518832881514	0.803705683268184	2.74561827585861	2.7637411918564	5.720520351837	4.59698695706525	7.71564822661869	9.34343995056366	1.9843704855225	0.198442162854652	0.13535388360302	0.311644246253508	0.318262471397531	0.929887462469323	1.98513070513468	0.837740768803231	4.66649151549125	2.35849749616777	0.00133566856155971	8072.02266171807
"Stoml3"	251.840738178596	4643.93453577772	964.488000677117	1185.90648255983	51.0454501537928	328.645216775373	23.0310078945388	107.177392452037	59.7159661484933	54.0955074029421	46.4995945574588	10.743219608362	11.3634745615165	4.54591656596629	3.02587461476633	1.42767463347304	14.722238138147	4.89394479946455	0.579981104758419	11.2917566815788	50.7409970319045	4.21530544631824	11.821920692376	0.110272255846051	4.30179856230917	4.52593440363547	16.4070727861637	24.5865249348683	6.64149812736192	4.35981325694554	3.5051854739058	0.280514871017799	0.276807297464902	0.301833291525143	0.457523894023084	6.80287795528651	0.995245350944315	1.80215878322733	0.0891128860397256	1.47687648367514	0.435055004494807	0.563531824827884	0.37548489008324	1.26358840890602	0.054002111772493	0.481583488399034	0.572026751383858	0.0305603246476192	7926.44907987528
"Tmsb4x"	948.537139157875	4150.51902023582	158.737408597977	1646.79757395485	78.0350043157555	21.4138148310164	145.46445086256	10.7014025214237	6.19483872671469	251.95110449772	251.036182427617	56.0533048181421	17.7561653325147	7.527684509828	0.0793863023800129	3.71224765579119	4.5621500691326	13.5924658040751	0.722598343033396	3.01758811505164	18.3114976904402	1.19500568192968	4.46244406628341	3.40398022133284	0.47341841837367	3.89106252780934	11.1776776132715	12.8181974341717	7.79247823289139	2.88025564401623	6.18288054551036	0.0651828117291251	3.63256789486452	2.91526709073545	9.17703467301343	5.56868484515327	3.556075093378	0.579232769212607	0.149342550021919	1.30492406026901	0.270625166866574	0.412439513772096	0.543765465396805	0.110541832193479	0.216331317380337	2.87118558018827	1.43784249958448	0.00631491818635977	7881.81778723725
"Mslnl"	506.986217721492	3661.7105449883	4.05812289429643	2830.76519981349	4.19974945224098	333.778815604801	84.5840059740379	37.6477907491116	18.1979890107486	27.0024009895549	151.966482852891	4.0810533788307	14.6836673689525	9.70523312871812	1.49043013746346	1.90702062569403	6.79496184972149	39.0504594935529	1.60867256615246	7.77915438293715	0.859291675984967	2.36674139243868	9.59877522798977	3.63501416791246	0.79855589206814	9.6330923708718	3.86911255340324	15.0164583606037	2.79808341429619	1.4711073514508	5.72750282683201	2.38787043113567	2.23198983561184	7.64498276071476	1.85299586607437	7.86149025380752	0.145746859179656	1.47514754342908	0.824717170356836	1.27860823918529	0.292931069357632	1.13156742857035	2.53127132409738	0.870518317948049	0.188095951666108	0.691058422105809	0.413302052537632	0.0160317520147698	7835.61003349463
