Olfr477	24	predicted	1438.7686047042137	-1890.7128667482282
Olfr354	47	predicted	286.9670628597206	-1116.4655968922789
Olfr711	40	predicted	1535.7459716835278	-2145.9533960927884
Olfr3	15	predicted	782.1073955746422	-881.9303557871124
Olfr1080	30	predicted	1535.74603552864	-2017.8937958420515
Olfr1178	83	predicted	1543.3186932022952	-2325.213925442437
Olfr15	97	predicted	1743.9334169881602	-1932.2075450730006
Olfr309	159	predicted	1768.457329567934	-1655.0637083261206
Olfr309	159	slide-seq	1730.94551462984	-1795.98008544031
Olfr1437	21	predicted	1062.203733590083	-1386.1827949226506
Olfr169	84	predicted	1671.5924099716988	-2189.1167330970175
Olfr1195	75	predicted	1946.1289394339904	-2279.53822448585
Olfr1311	17	predicted	1119.2621033620808	-2284.906055969365
Olfr1359	45	predicted	1615.1380288124262	-2181.0337013774847
Olfr224	58	predicted	1703.2485245963292	-2327.670645023135
Olfr1425	42	predicted	1192.826301939944	-2096.2974035353386
Olfr166	133	predicted	1947.5543271570027	-1962.0522456964497
Olfr107	15	predicted	213.53057740531565	-598.8042789682809
Olfr531	63	predicted	1816.8379555472084	-1866.9918031169755
Olfr1046	17	predicted	1041.7532717056738	-725.0483854930674
Olfr392	58	predicted	1217.2919939281257	-1816.0572559844795
Olfr1197	95	predicted	1338.1224882783843	-2228.2778992218628
Olfr825	33	predicted	396.8712767950249	-1159.4093672460604
Olfr220	67	predicted	1590.3934623006426	-2101.762941572824
Olfr805	53	predicted	1219.146585570642	-2020.7415920233025
Olfr48	20	predicted	849.3135357586386	-1801.1156638686948
Olfr1297	63	predicted	1407.1252926886953	-1718.153669113377
Olfr1110	105	predicted	1803.7690046883213	-1814.6426205535547
Olfr1110	105	slide-seq	1793.88219285003	-1823.54824420312
Olfr1238	17	predicted	1463.276686227837	-1897.0339576194872
Olfr398	37	predicted	1726.5303880530537	-2207.6361809516657
Olfr1280	171	predicted	1769.0252793918075	-2324.4655506511453
Olfr1241	60	predicted	1474.997452303471	-2195.329279027304
Olfr1202	11	predicted	1880.7523756394519	-2357.1026223826516
Olfr1340	12	predicted	1263.1074049789333	-929.3711383319904
Olfr132	31	predicted	1338.5266142049181	-1840.6547827876136
Olfr591	36	predicted	357.447394599208	-442.33950979625376
Olfr789	48	predicted	1100.04117971497	-2122.903641258876
Olfr1356	8	predicted	1040.1732031257538	-1373.9070334823466
Olfr222	63	predicted	1254.3641428797453	-1493.7683018231335
Olfr539	18	predicted	1693.5972761287148	-1764.6085302134634
Olfr740	113	predicted	1834.5018416243697	-2109.2517193600734
Olfr1308	22	predicted	994.9162425607047	-2233.771766670208
Olfr124	50	predicted	1671.35050733494	-2127.201836917962
Olfr794	56	predicted	847.2111623120244	-1543.9637826474316
Olfr530	10	predicted	1577.3929410615158	-1542.8807491554248
Olfr1104	12	predicted	1283.5711614871182	-1047.1656040157159
Olfr1440	67	predicted	472.8658067812217	-1497.2451228449308
Olfr790	16	predicted	977.1531803496651	-1808.500629046134
Olfr728	272	predicted	1060.8531421933196	-2337.2518363325776
Olfr728	272	slide-seq	1602.0	-2761.02232332373
Olfr212	70	predicted	1495.4263159474963	-2111.6238874793244
Olfr212	70	slide-seq	1513.0	-2316.07408969824
Olfr411	26	predicted	795.4000485274302	-855.1713296086863
Olfr777	18	predicted	815.4139758544615	-1968.7119758992708
Olfr810	28	predicted	432.02804108254304	-1170.9440514905957
Olfr1330	31	predicted	824.6260752356113	-1167.579329710475
Olfr1263	56	predicted	1686.4795007820228	-2180.1907529098726
Olfr131	56	predicted	1117.7559500114164	-1600.1898650080564
Olfr32	21	predicted	1373.1777058557	-1377.3009238424197
Olfr1228	182	predicted	1408.563589686317	-2437.456978542255
Olfr488	11	predicted	951.7431727849743	-654.6466875361095
Olfr370	40	predicted	1403.503274085511	-2084.719762799496
Olfr215	11	predicted	822.4923268246436	-1805.3807328279647
Olfr1018	23	predicted	1281.5782829519144	-1744.242395366139
Olfr1018	23	slide-seq	1416.16427103152	-1590.1561528221
Olfr1099	55	predicted	1360.0161724024904	-2094.5523204647043
Olfr1507	368	predicted	2122.401884205979	-2245.0466524007857
Olfr672	30	predicted	487.10530522501057	-593.846515512773
Olfr672	30	slide-seq	534.0	-757.614648833094
Olfr479	30	predicted	1044.6701284890166	-1535.300403931264
Olfr479	30	slide-seq	979.0	-1413.09205799586
Olfr827	52	predicted	317.3394953332708	-1077.0828728744543
Olfr1494	62	predicted	1189.2775977409212	-1864.246902220995
Olfr235	28	predicted	830.139273189429	-1427.735744745476
Olfr1239	55	predicted	1356.2564687233087	-2053.551158722156
Olfr1396	35	predicted	1335.008824729944	-1842.2715484716557
Olfr136	23	predicted	1605.2241353444438	-1652.2203826280295
Olfr17	62	predicted	1204.7122578412632	-1735.6448131763602
Olfr998	9	predicted	453.3677671254314	-1112.8285483246973
Olfr297	24	predicted	1178.820504642117	-1698.1203491140316
Olfr117	56	predicted	1339.31305106111	-2076.675846866648
Olfr1299	13	predicted	1848.1981023018795	-1726.1425287807963
Olfr1299	13	slide-seq	2193.58524351191	-1769.65883011074
Olfr209	23	predicted	1434.2648283151323	-1738.9970937824169
Olfr726	133	predicted	1963.975159291452	-2292.460470086864
Olfr1135	14	predicted	1253.1228787858597	-1519.7863049905284
Olfr1226	196	predicted	1610.344006815354	-2238.114222631746
Olfr786	26	predicted	852.5911400161369	-1764.80236137854
Olfr272	33	predicted	885.4739423157857	-1288.6804838264861
Olfr308	34	predicted	1048.1729537743447	-1777.7331848871838
Olfr1213	49	predicted	1135.9614925639803	-2392.0050163660308
