""	"OR"	"Slide"	"Average"	"ML"	"DV"	"AP"	"side"
"1"	"Olfr97"	1	4.75	-379.435646998438	-1322.74802367529	4000	"Same"
"2"	"Olfr869"	1	4.5	-346.060206926432	-778.982908942831	4000	"Same"
"3"	"Olfr360"	3	4	-335.020840062575	-3179.63449123677	12000	"Same"
"5"	"Olfr487"	3	4.75	-641.411038224352	-347.540761877069	12000	"Same"
"6"	"Olfr771"	3	4	521.01135131204	-3022.90876895656	12000	"Same"
"7"	"Olfr855"	3	5	-724.983657652088	-853.666388853206	12000	"Same"
"8"	"Olfr99"	4	4	-743.48	-1042.44	16000	"Same"
"18"	"Olfr1420"	5	5	-2089.28571428571	-3401.72857142857	20000	"Opposite"
"20"	"Olfr654"	6	4.5	-581.049881561274	-1372.25146841551	24000	"Same"
"21"	"Olfr784"	6	4.5	-1449.00888864397	-2352.34154949174	24000	"Opposite"
"22"	"Olfr788"	6	4.5	-663.543781039115	-2916.25303841113	24000	"Same"
"23"	"Olfr791"	6	4.5	-437.369479657536	-2285.37828579017	24000	"Same"
"24"	"Olfr798"	6	5	-507.975930368832	-2240.65362404798	24000	"Same"
"25"	"Olfr1318"	6	5	-595.113424562536	-3349.49774770913	24000	"Same"
"26"	"Olfr1428"	6	4.75	-425.542291967516	-3586.99882885614	24000	"Same"
"28"	"Olfr121"	7	4.75	-679.932106477348	-3612.71196274664	28000	"Same"
"30"	"Olfr683"	7	4.75	-616.886825236149	77.5996765886094	28000	"Same"
"31"	"Olfr1000"	7	4	-771.154506284895	-1973.9837472779	28000	"Same"
"38"	"Olfr16"	9	4.75	-560.694982672563	-1655.27169035317	36000	"Same"
"39"	"Olfr118"	9	5	-1389.15594389014	-2760.27877500345	36000	"Opposite"
"40"	"Olfr129"	9	5	-804.235195922281	-2905.18947176744	36000	"Same"
"44"	"Olfr464"	9	4	-700.120683218746	-2534.43832400529	36000	"Same"
"45"	"Olfr640"	9	4.5	-1114.27185496184	-952.339109861682	36000	"Opposite"
"46"	"Olfr1030"	9	4.75	-653.009495633097	-1383.29277789512	36000	"Same"
"47"	"Olfr1031"	9	4.5	-710.608632507714	-1251.2815944435	36000	"Same"
"48"	"Olfr1189"	9	5	-1332.94044282647	-2548.42563353212	36000	"Opposite"
"49"	"Olfr1288"	9	5	-1376.45427946838	-3962.55394803019	36000	"Opposite"
"50"	"Olfr1357"	9	4.25	-769.109170698764	-1300.18946222934	36000	"Same"
"52"	"Olfr414"	10	5	-367.475385749091	-3954.00513148211	40000	"Same"
"53"	"Olfr578"	10	4.5	-1323.12638494928	-779.311703989728	40000	"Opposite"
"54"	"Olfr722"	10	4	-275.69149339139	-3881.07883394641	40000	"Same"
"55"	"Olfr987"	10	5	-705.171774742642	-1418.61338877463	40000	"Same"
"56"	"Olfr1018"	10	4.75	-718.36803058863	-2787.78101890148	40000	"Same"
"57"	"Olfr1045"	10	5	-1295.91234976838	-1593.91380704774	40000	"Opposite"
"58"	"Olfr120"	11	5	-1023.03567832414	-2500.37647573069	44000	"Same"
"60"	"Olfr745"	11	5	-1445.00404350509	-1371.8049764165	44000	"Opposite"
"63"	"Olfr723"	12	4.25	-841.74930064065	-4077.87006826051	48000	"Same"
"64"	"Olfr1110"	12	4.5	-745.995670847759	-3344.03116363835	48000	"Same"
"65"	"Olfr1295"	12	4.75	-671.673381120632	-3770.00054017817	48000	"Same"
"67"	"Olfr309"	13	4.25	-930.702279794886	-3125.55418351636	52000	"Same"
"68"	"Olfr350"	13	4	-1186.34589315985	-1290.0758975303	52000	"Opposite"
"71"	"Olfr1501"	13	4.75	-788.355624270305	-2214.61138406893	52000	"Same"
"73"	"Olfr491"	15	4	-565.285714285714	-3051.35714285714	60000	"Same"
"74"	"Olfr727"	15	4	-345	-4019.45	60000	"Same"
"75"	"Olfr1299"	15	4	-437.55	-3553	60000	"Same"
"76"	"Olfr910"	16	4.5	-650.249606995907	-1083.29454219096	64000	"Same"
"77"	"Olfr1135"	16	4.75	-1111.19772494527	-1196.91346968078	64000	"Opposite"
"78"	"Olfr1477"	17	4.5	-977.206018721036	-1686.33365268576	68000	"Opposite"
