x	1	0.000000e+00
x	2	0.000000e+00
x	3	0.000000e+00
x	4	7.956335e-201
x	5	5.089547e-159
x	6	4.461194e-60
x	7	3.317543e-53
x	8	1.232002e-33
x	9	4.482455e-57
x	10	4.293446e-22
x	11	1.715618e-62
x	12	6.275122e-316
x	13	3.988809e-109
x	14	2.677113e-28
x	15	9.200490e-01
x	16	2.260309e-175
x	17	1.746406e-205
x	18	6.047868e-29
x	19	4.022965e-06
x	20	1.317721e-33
x	21	2.244199e-42
x	22	1.333282e-01
x	23	8.888460e-03
x	24	3.608544e-03
x	25	8.026983e-14
x	26	1.807673e-13
x	27	1.187658e-136
x	28	4.241762e-62
x	29	2.869307e-04
x	30	6.658430e-21
x	31	7.767168e-08
x	32	2.731312e-05
x	33	2.335668e-06
x	34	4.776579e-02
x	35	1.835770e-14
x	36	3.466551e-06
x	37	1.125228e-05
x	38	1.117233e-22
x	39	1.850328e-03
x	40	1.310003e-06
x	41	1.380967e-02
x	42	4.901286e-19
x	43	1.484877e-42
x	44	5.017255e-41
x	45	5.724013e-04
x	46	1.773185e-119
x	47	1.332518e-17
x	48	1.676795e-05
x	49	6.225960e-05
x	50	2.290546e-05
y	1	3.946640e-32
y	2	8.184455e-111
y	3	0.000000e+00
y	4	0.000000e+00
y	5	2.264534e-12
y	6	0.000000e+00
y	7	0.000000e+00
y	8	1.790692e-64
y	9	3.862391e-129
y	10	4.997025e-02
y	11	6.757381e-89
y	12	0.000000e+00
y	13	1.695366e-24
y	14	2.489538e-22
y	15	1.623455e-49
y	16	4.598590e-309
y	17	8.389388e-187
y	18	7.438133e-05
y	19	6.770278e-06
y	20	4.626572e-04
y	21	3.317607e-02
y	22	2.986135e-44
y	23	5.815467e-10
y	24	2.374502e-02
y	25	1.101277e-35
y	26	8.987716e-52
y	27	5.987834e-251
y	28	1.052335e-114
y	29	1.354251e-15
y	30	5.777783e-40
y	31	4.180796e-15
y	32	1.403870e-22
y	33	1.894432e-18
y	34	9.003238e-21
y	35	4.808995e-04
y	36	1.535572e-99
y	37	1.333118e-10
y	38	1.411891e-21
y	39	9.865919e-18
y	40	4.027823e-26
y	41	2.415862e-09
y	42	1.691985e-05
y	43	9.350688e-07
y	44	7.620636e-09
y	45	1.024181e-13
y	46	1.400621e-39
y	47	5.384002e-02
y	48	2.084575e-01
y	49	9.277511e-18
y	50	4.791560e-11
