"Balanced_accuracy" "Threshold" "Group"
"1" 32.0556745972513 "2600" "OR"
"2" 33.6831140472671 "2600" "OR"
"3" 32.5937039638525 "2600" "OR"
"4" 32.1815394202957 "2600" "OR"
"5" 33.9902237717345 "2600" "OR"
"6" 33.5183250782532 "2600" "OR"
"7" 33.4727454964259 "2600" "OR"
"8" 34.6745146064521 "2600" "OR"
"9" 32.8193534411004 "2600" "OR"
"10" 32.2377730686417 "2600" "OR"
"11" 31.9268241151383 "2600" "OR"
"12" 32.5629888756551 "2600" "OR"
"13" 34.3678458004221 "2600" "OR"
"14" 34.3042870798172 "2600" "OR"
"15" 32.4456300266014 "2600" "OR"
"16" 34.3393995563685 "2600" "OR"
"17" 33.2352127394867 "2600" "OR"
"18" 33.9912285464595 "2600" "OR"
"19" 33.6591095200237 "2600" "OR"
"20" 32.5674135633311 "2600" "OR"
"21" 32.4374298583557 "2600" "OR"
"22" 33.1778822221259 "2600" "OR"
"23" 32.7271250057168 "2600" "OR"
"24" 32.7002679256225 "2600" "OR"
"25" 31.7889554483027 "2600" "OR"
"26" 31.4778572405652 "2600" "OR"
"27" 33.601874136223 "2600" "OR"
"28" 33.4239082867485 "2600" "OR"
"29" 32.7954821814059 "2600" "OR"
"30" 32.6707794414533 "2600" "OR"
"31" 32.8314525645032 "2600" "OR"
"32" 33.4639656571696 "2600" "OR"
"33" 30.3861704197343 "2600" "OR"
"34" 34.1459575812173 "2600" "OR"
"35" 33.3030899348153 "2600" "OR"
"36" 34.176340325771 "2600" "OR"
"37" 33.9383633287803 "2600" "OR"
"38" 33.1046096771992 "2600" "OR"
"39" 32.6174124058441 "2600" "OR"
"40" 32.066222956418 "2600" "OR"
"41" 32.5598587131869 "2600" "OR"
"42" 32.6404357802826 "2600" "OR"
"43" 33.5274794992588 "2600" "OR"
"44" 34.3139734396433 "2600" "OR"
"45" 32.8233236454451 "2600" "OR"
"46" 31.5771893454802 "2600" "OR"
"47" 33.8762683740334 "2600" "OR"
"48" 33.0851666422585 "2600" "OR"
"49" 31.8837597503814 "2600" "OR"
"50" 32.8599824572589 "2600" "OR"
"51" 32.196055464524 "2600" "OR"
"52" 31.9335247863901 "2600" "OR"
"53" 34.5656100537613 "2600" "OR"
"54" 33.9220171365542 "2600" "OR"
"55" 31.8936148709314 "2600" "OR"
"56" 32.560387543608 "2600" "OR"
"57" 32.8502470151575 "2600" "OR"
