Olfr1000	11.0	-1967.9995431422199	2
Olfr1013	17.0	-1449.52995198871	2
Olfr1030	9.0	-1303.24141259629	2
Olfr1048	11.0	-1108.75196903705	2
Olfr1086	12.0	-311.059204280948	2
Olfr1123	13.0	-3356.90535809123	2
Olfr1189	15.0	-2444.89699416542	2
Olfr1217	15.0	-2417.35722789328	2
Olfr122	16.0	-3542.78641243175	2
Olfr1229	17.0	-4222.8765334870595	2
Olfr1250	15.0	-2873.88475	2
Olfr1252	13.0	-3258.3707594282105	2
Olfr1260	15.0	-3916.6825	2
Olfr1288	18.0	-3370.5866352667304	2
Olfr1356	1.0	-1647.48014731477	2
Olfr1357	9.0	-1131.51335068985	2
Olfr1364	16.0	-2980.80134544146	2
Olfr1384	14.0	-3897.86792997553	2
Olfr1420	13.0	-3246.33800022461	2
Olfr1424	13.0	-3600.50303031391	2
Olfr1428	13.0	-3345.14649635425	2
Olfr1496	15.0	-1172.13463949584	2
Olfr212	17.0	-3582.3738164869	2
Olfr309	18.0	-3021.07583841567	2
Olfr376	14.0	-533.982306701444	2
Olfr414	18.0	-3695.77201385117	2
Olfr433	11.0	-732.280052579043	2
Olfr47	14.0	-2298.4368326600697	2
Olfr479	11.0	-2193.56344661182	2
Olfr481	10.0	-1317.91070051075	2
Olfr517	12.0	-1618.2262827959	2
Olfr55	13.0	-2947.19001768122	2
Olfr566	4.0	129.608078160742	2
Olfr592	4.0	-141.49710247003298	2
Olfr598	8.0	-1136.3785586360302	2
Olfr672	6.0	-1178.31922739078	2
Olfr722	18.0	-3575.56846546369	2
Olfr728	18.0	-4258.4536531475205	2
Olfr73	12.0	-988.9525323840401	2
Olfr749	13.0	-1835.34843150787	2
Olfr771	11.0	-2911.2573972796504	2
Olfr78	6.0	-380.65909345673	2
Olfr791	9.0	-2090.81227759053	2
Olfr798	8.0	-2027.44090353465	2
Olfr804	5.0	-2709.3358733813297	2
Olfr822	5.0	-1469.8387669866502	2
Olfr963	12.0	-1802.9688529036603	2
Olfr969	11.0	-1247.40438962471	2
Olfr987	11.0	-1227.22690664223	2
Olfr994	12.0	-550.261910090345	2
Olfr1000	9.62772344380247	-1820.6217130244138	1
Olfr1018	15.45016270835144	-2759.6812708807465	1
Olfr1030	9.41044303109311	-1214.6309637523461	1
Olfr1031	8.732060785652044	-1019.0378783068136	1
Olfr1045	11.576444306847499	-1595.097636982656	1
Olfr1110	17.843441589898596	-3149.880025804854	1
Olfr1135	15.463963050527257	-1622.5950352776028	1
Olfr118	14.641381257649812	-2722.829850711709	1
Olfr1189	14.004779770614626	-2539.2831115610256	1
Olfr120	15.394471448475164	-2547.662981812657	1
Olfr121	15.520706951257075	-3372.5995912065764	1
Olfr1288	17.523156053819115	-3553.7113010000385	1
Olfr129	15.05063689352753	-2840.8275918012496	1
Olfr1295	18.595366447904073	-3394.209935963613	1
Olfr1299	19.45646676577421	-3248.340038545858	1
Olfr1318	13.992540658383055	-3190.2926308454207	1
Olfr1357	8.988216828816642	-1092.8935123166739	1
Olfr1420	13.276977265812901	-3242.1889996477225	1
Olfr1428	14.713331473919178	-3371.0014135084666	1
Olfr1477	17.168726002786308	-2092.528966849555	1
Olfr1501	16.00938385202178	-2369.4494922196754	1
Olfr16	10.687495900139659	-1582.8344546492556	1
Olfr309	17.922546675165155	-3014.051327998849	1
Olfr350	13.418484819608688	-1496.4980359144827	1
Olfr360	10.177499354571154	-3053.9001316686267	1
Olfr414	18.0064325101753	-3528.190921421217	1
Olfr464	13.961042145394082	-2526.672555897994	1
Olfr487	-27.039325883927596	4838.174713526379	1
Olfr491	18.69241454148742	-2972.824702670207	1
Olfr578	7.638300062639709	-411.14520178402165	1
Olfr640	7.029465830712011	-528.1408910423536	1
Olfr654	4.215218258667757	-739.0293926443171	1
Olfr683	-9.274013271301833	3157.345254634103	1
Olfr722	17.87085294124555	-3487.4306671380855	1
Olfr723	19.088871998537712	-3554.569266507634	1
Olfr727	20.088811367187347	-3476.361932481343	1
Olfr745	11.772290295191011	-1414.49207881126	1
Olfr771	9.402377663980342	-2889.530431752666	1
Olfr784	10.135812162367067	-2223.375882525665	1
Olfr788	12.503499786824765	-2816.976604288288	1
Olfr791	9.814634752345174	-2142.8537982635944	1
Olfr798	9.594660174009173	-2087.7041800788106	1
Olfr855	-13.093281142605594	1880.8233492542563	1
Olfr869	-32.655278744751165	4340.301313258083	1
Olfr910	15.170277768444922	-1513.2627168672616	1
Olfr97	-15.268892051507633	1111.8249745747135	1
Olfr987	10.84330235419768	-1374.687934757378	1
Olfr99	-5.020443183761638	642.3931633017816	1
