Olfr477	24	predicted	13.297764355281467	-2420.8961564709803
Olfr354	47	predicted	10.722592028360133	-2538.750546348517
Olfr711	40	predicted	15.79198500259053	-2774.5557660287623
Olfr3	15	predicted	12.657634109655364	-2229.6560367786847
Olfr1080	30	predicted	15.257470342418198	-2714.942287722163
Olfr1178	83	predicted	14.150452827543536	-2958.0927123864767
Olfr15	97	predicted	15.733933643817966	-2671.476169412074
Olfr309	159	predicted	16.366921709602856	-2488.9973008803986
Olfr309	159	slide-seq	17.96127333758258	-3017.5635832072594
Olfr1437	21	predicted	11.405923726548943	-2080.6177765657285
Olfr169	84	predicted	15.157942219977247	-2813.109155167499
Olfr1195	75	predicted	15.897929865256268	-2848.497505125196
Olfr1311	17	predicted	12.348951607429486	-2449.79884542022
Olfr1359	45	predicted	14.972053282398962	-2823.0264760573723
Olfr224	58	predicted	14.335497826721415	-2814.1503103713376
Olfr1425	42	predicted	12.488159104169327	-2394.9573748299554
Olfr166	133	predicted	16.46801082594083	-2733.477158991537
Olfr107	15	predicted	9.535218506802691	-2020.9701573125199
Olfr531	63	predicted	14.816911958003375	-2606.056314012428
Olfr1046	17	predicted	12.067979552496102	-1978.9353836175214
Olfr392	58	predicted	12.505038795060734	-2642.1264100328594
Olfr1197	95	predicted	14.237991212339358	-2666.844579168309
Olfr825	33	predicted	10.611840824531876	-2259.525216714265
Olfr220	67	predicted	15.984839570510568	-2569.3058610204557
Olfr805	53	predicted	13.475213976134226	-2657.0132263723012
Olfr48	20	predicted	13.9991714610016	-2879.7153391151896
Olfr1297	63	predicted	13.699259957824005	-2498.5638210317697
Olfr1110	105	predicted	15.107347960533707	-2675.4355407137878
Olfr1110	105	slide-seq	17.843441589898593	-3149.880025804854
Olfr1238	17	predicted	14.102663475817824	-2622.3446313811005
Olfr398	37	predicted	15.527184005089154	-2588.5807713734143
Olfr1280	171	predicted	15.583611612168834	-3005.0677134980083
Olfr1241	60	predicted	13.50840364452344	-2734.2927849207617
Olfr1202	11	predicted	14.753784179699107	-2878.80632216459
Olfr1340	12	predicted	15.2326299637715	-2333.775829203499
Olfr132	31	predicted	15.096551492006782	-2565.916857618212
Olfr591	36	predicted	10.80553544659624	-1910.5805990998492
Olfr789	48	predicted	12.374442656269721	-2509.4014528650973
Olfr1356	8	predicted	9.758127969035469	-2090.742366341798
Olfr1356	8	slide-seq	1.0	-1647.48014731477
Olfr222	63	predicted	13.458921553785217	-2440.7891681869123
Olfr539	18	predicted	14.138503088286463	-2713.745712333792
Olfr740	113	predicted	16.401159697832963	-2718.522703325943
Olfr1308	22	predicted	12.31956552354333	-2588.891156076989
Olfr124	50	predicted	14.937414704717096	-2841.0383567876997
Olfr794	56	predicted	11.348457499369767	-2255.7412452086946
Olfr530	10	predicted	13.112460771671966	-2290.8427676939177
Olfr1104	12	predicted	14.195334372801234	-2368.0897182136746
Olfr1440	67	predicted	11.709376409661454	-2606.1612307397745
Olfr790	16	predicted	11.406003813007176	-2334.259397352019
Olfr728	272	predicted	12.74753842723508	-2961.256417140512
Olfr728	272	slide-seq	18.0	-4258.4536531475205
Olfr212	70	predicted	13.777484754202144	-2545.6507037838455
Olfr212	70	slide-seq	17.0	-3582.3738164869
Olfr411	26	predicted	11.689318523922985	-2192.3333365063377
Olfr777	18	predicted	12.69140781091753	-2417.05277289388
Olfr810	28	predicted	8.543323195581333	-1728.896719912204
Olfr1330	31	predicted	11.30703803902866	-2351.394292754454
Olfr1263	56	predicted	15.048123691204596	-2890.949224020391
Olfr131	56	predicted	12.405164442974092	-2358.789053350261
Olfr32	21	predicted	13.029495078964938	-2201.878681790166
Olfr1228	182	predicted	14.380175801612396	-2910.1795694688935
Olfr488	11	predicted	12.145100284315713	-2085.249625520217
Olfr370	40	predicted	14.35547396874783	-2737.237821633552
Olfr215	11	predicted	11.311710359106964	-2213.1766748076266
Olfr1018	23	predicted	13.566320536586362	-2536.3210520066264
Olfr1018	23	slide-seq	15.45016270835144	-2759.6812708807465
Olfr1099	55	predicted	13.3879571647915	-2638.498038964554
Olfr1507	368	predicted	15.9860431864947	-3181.15378829052
Olfr672	30	predicted	9.914174958995494	-1848.941256685344
Olfr672	30	slide-seq	6.0	-1178.31922739078
Olfr479	30	predicted	12.54327990843845	-2351.309334703568
Olfr479	30	slide-seq	11.0	-2193.56344661182
Olfr827	52	predicted	10.529661723188541	-2400.850402246182
Olfr1494	62	predicted	12.691423863629346	-2470.8033020066905
Olfr235	28	predicted	11.250182433241434	-2198.3392203659782
Olfr1239	55	predicted	13.26804720223676	-2493.88581458419
Olfr1396	35	predicted	13.345297850625915	-2240.0222401182805
Olfr136	23	predicted	14.7309033079396	-2408.384056459174
Olfr17	62	predicted	12.7807645479455	-2293.1782444246733
Olfr998	9	predicted	10.711667745271177	-2321.916807065837
Olfr297	24	predicted	12.902628451565825	-2590.730222177403
Olfr117	56	predicted	14.102937527244872	-2560.9805349551234
Olfr1299	13	predicted	15.352953126117692	-2686.6810713571895
Olfr1299	13	slide-seq	19.456466765774213	-3248.340038545858
Olfr209	23	predicted	13.346378424858019	-2369.2747733551364
Olfr726	133	predicted	15.72967072538668	-2895.588320563553
Olfr1135	14	predicted	12.922717794789323	-2139.9906833494397
Olfr1135	14	slide-seq	15.463963050527255	-1622.5950352776028
Olfr1226	196	predicted	14.633298079662389	-2949.947632183138
Olfr786	26	predicted	11.850109745000955	-2448.2605756740177
Olfr272	33	predicted	12.352872715930905	-2468.5917091419437
Olfr308	34	predicted	12.21458921429789	-2374.164016358005
