"Balanced_accuracy" "Threshold" "Group"
"152" "0.942844458469459" "2600" "OR"
"153" "0.944245323215912" "2600" "OR"
"154" "0.949851245071833" "2600" "OR"
"155" "0.960577596423185" "2600" "OR"
"156" "0.932531746759688" "2600" "OR"
"157" "0.914376401288166" "2600" "OR"
"158" "0.942998904690081" "2600" "OR"
"159" "0.943426255117432" "2600" "OR"
"160" "0.946904252345429" "2600" "OR"
"161" "0.945524232215409" "2600" "OR"
"162" "0.936325369891546" "2600" "OR"
"163" "0.953225463262228" "2600" "OR"
"164" "0.936936543848308" "2600" "OR"
"165" "0.947640434552199" "2600" "OR"
"166" "0.945240583586172" "2600" "OR"
"167" "0.949160202542556" "2600" "OR"
"168" "0.959112484737485" "2600" "OR"
"169" "0.944578664799253" "2600" "OR"
"170" "0.938323906485671" "2600" "OR"
"171" "0.942924208144796" "2600" "OR"
"172" "0.957879183724772" "2600" "OR"
"173" "0.958993930905696" "2600" "OR"
"174" "0.940821851263028" "2600" "OR"
"175" "0.942769383394383" "2600" "OR"
"176" "0.951078261519438" "2600" "OR"
"177" "0.930753044980986" "2600" "OR"
"178" "0.937062280040221" "2600" "OR"
"179" "0.940300870521459" "2600" "OR"
"180" "0.947393980114568" "2600" "OR"
"181" "0.954183564624741" "2600" "OR"
"182" "0.950069463856228" "2600" "OR"
"183" "0.931252578127578" "2600" "OR"
"184" "0.950252649223237" "2600" "OR"
"185" "0.954535750197515" "2600" "OR"
"186" "0.956221584787761" "2600" "OR"
"187" "0.950559954751131" "2600" "OR"
"188" "0.946151377217554" "2600" "OR"
"189" "0.958765137551902" "2600" "OR"
"190" "0.958491120807297" "2600" "OR"
"191" "0.971742889463478" "2600" "OR"
"192" "0.953950522516699" "2600" "OR"
"193" "0.935655345471522" "2600" "OR"
"194" "0.949786783389725" "2600" "OR"
"195" "0.940590300222653" "2600" "OR"
"196" "0.953041549953314" "2600" "OR"
"197" "0.96176440135999" "2600" "OR"
"198" "0.952824059110824" "2600" "OR"
"199" "0.956459680025856" "2600" "OR"
"200" "0.942879328099916" "2600" "OR"
"201" "0.931384858517211" "2600" "OR"
"202" "0.946925949867126" "2600" "OR"
"203" "0.944688429945783" "2600" "OR"
